2025-07-17 08:38:27 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 08:38:27 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 08:38:28 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:28 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:28 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:41:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 08:41:21 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 08:41:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:42:27 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 08:42:27 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 08:42:27 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:27 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:27 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:52:35 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 08:52:35 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 08:52:35 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:35 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:35 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:55:42 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 08:55:42 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 08:55:42 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:42 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:42 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:03:13 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:03:13 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:03:14 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:14 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:14 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:05:00 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:05:00 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:05:01 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:01 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:01 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:22:01 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:22:01 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:22:01 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:01 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:01 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:25:46 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:25:46 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:25:46 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:46 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:46 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:51:56 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:51:56 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:51:56 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:51:56 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:51:56 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:52:50 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:52:50 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:52:50 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:50 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:50 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 09:55:33 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:03:14 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:03:14 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:05:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
