2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 08:38:34 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 08:41:27 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 08:41:27 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 08:41:27 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:27 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:27 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 08:42:33 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 08:42:33 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 08:42:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 08:52:39 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 08:52:39 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 08:52:39 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:39 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:39 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 08:55:46 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:03:18 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:05:04 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:05:04 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:05:04 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:04 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:04 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:22:05 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:22:05 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:22:05 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:05 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:05 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:25:50 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:25:50 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:25:50 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:50 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:50 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:52:01 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:52:01 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:52:01 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:01 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:01 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:52:53 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
